,Seed,Step,Coverage
318,0,15093,373
319,0,15312,373
320,0,15334,373
321,0,15356,373
322,0,15440,373
323,0,15453,373
324,0,15509,373
325,0,15510,373
326,0,15599,374
327,0,15689,374
328,0,15728,376
329,0,15845,376
330,0,15875,376
331,0,15907,376
332,0,15934,376
333,0,16050,379
334,0,16087,379
335,0,16093,380
336,0,16094,380
337,0,16140,380
338,0,16210,380
339,0,16229,380
340,0,16245,380
341,0,16311,380
342,0,16327,380
343,0,16540,382
344,0,16561,382
345,0,16586,382
346,0,16618,382
347,0,16654,382
348,0,16659,382
349,0,16820,382
350,0,17037,382
351,0,17040,383
352,0,17107,383
353,0,17229,383
354,0,17240,383
355,0,17313,383
356,0,17326,383
357,0,17361,384
358,0,17392,385
359,0,17500,385
360,0,17646,385
361,0,17672,385
362,0,17683,385
363,0,17761,385
364,0,17812,390
365,0,18094,390
366,0,18139,390
367,0,18165,392
368,0,18283,392
369,0,18354,392
370,0,18423,393
371,0,18744,393
372,0,18780,393
373,0,18781,397
374,0,18812,397
375,0,18958,397
376,0,19160,397
377,0,19257,397
378,0,19289,397
379,0,19290,397
380,0,19422,397
381,0,19448,397
382,0,19790,397
383,0,19814,397
384,0,19875,397
385,0,19923,397
386,0,19970,397
387,0,20005,397
388,0,20033,397
389,0,20034,397
390,0,20170,397
391,0,20211,397
392,0,20383,397
393,0,20614,397
394,0,20751,397
395,0,20849,398
396,0,20985,398
397,0,21197,398
398,0,21287,398
399,0,21444,398
400,0,21448,400
401,0,21512,400
402,0,21530,400
403,0,21531,400
404,0,21918,400
405,0,21940,400
406,0,22437,400
407,0,22488,400
408,0,22556,400
409,0,22582,400
410,0,22699,400
411,0,22785,400
412,0,22826,400
413,0,22909,400
414,0,23094,400
415,0,23101,400
416,0,23114,400
417,0,23141,400
418,0,23144,400
419,0,23350,400
420,0,23364,400
421,0,23447,400
422,0,23463,400
423,0,23529,400
424,0,23835,400
425,0,23846,400
426,0,23892,400
427,0,23969,400
428,0,24130,400
429,0,24131,400
430,0,24212,400
431,0,24283,400
432,0,24354,400
433,0,24365,400
434,0,24395,400
435,0,24612,400
436,0,24950,400
437,0,25055,400
438,0,25085,402
439,0,25141,402
440,0,25197,402
441,0,25253,402
442,0,25305,402
443,0,25576,402
444,0,25617,402
445,0,25727,402
446,0,25758,402
447,0,25813,402
448,0,25820,402
449,0,25833,402
450,0,26129,402
451,0,26428,402
452,0,26545,402
453,0,26607,404
454,0,26935,404
455,0,27051,404
456,0,27137,404
457,0,27144,405
458,0,27201,405
459,0,27359,405
460,0,27480,405
461,0,27556,405
462,0,27557,405
463,0,27563,405
464,0,27599,405
465,0,27616,405
466,0,27713,405
467,0,27769,405
468,0,28140,405
469,0,28488,405
470,0,28621,405
471,0,28737,405
472,0,28798,405
473,0,28845,405
474,0,28936,405
475,0,28942,405
476,0,29029,405
477,0,29175,405
478,0,29405,405
479,0,29626,418
480,0,29702,418
481,0,29728,418
482,0,29789,418
483,0,30155,418
484,0,30236,418
485,0,30412,418
486,0,30570,418
487,0,30575,418
488,0,30608,418
489,0,30716,418
490,0,31338,418
491,0,31350,418
492,0,31362,418
493,0,31364,418
494,0,31490,418
495,0,31516,418
496,0,31547,418
497,0,31734,418
498,0,31761,426
499,0,31762,427
500,0,31783,427
501,0,31785,427
502,0,32081,427
503,0,32327,427
504,0,32334,427
505,0,32353,427
506,0,32432,427
507,0,32633,427
508,0,33014,427
509,0,33028,427
510,0,33061,427
511,0,33937,427
512,0,34015,427
513,0,34076,427
514,0,34113,427
515,0,34142,427
516,0,34150,427
517,0,34187,427
518,0,34357,427
519,0,34439,427
520,0,34521,427
521,0,34647,427
522,0,34683,427
523,0,34739,427
524,0,34792,427
525,0,34840,427
526,0,35006,427
527,0,35016,427
528,0,35290,427
529,0,35322,427
530,0,35358,427
531,0,35429,427
532,0,35449,427
533,0,35580,427
534,0,35617,427
535,0,35633,427
536,0,35669,428
537,0,35760,428
538,0,35786,428
539,0,35846,428
540,0,35880,428
541,0,35896,428
542,0,35993,428
543,0,36047,428
544,0,36051,428
545,0,36057,430
546,0,36188,430
547,0,36189,430
548,0,36211,431
549,0,36577,431
550,0,36723,431
551,0,36734,431
552,0,36805,431
553,0,36828,431
554,0,36971,431
555,0,37012,431
556,0,37013,431
557,0,37062,431
558,0,37097,431
559,0,37159,431
560,0,37190,431
561,0,37355,431
562,0,37586,431
563,0,37598,431
564,0,37729,431
565,0,37792,431
566,0,37793,431
567,0,38009,431
568,0,38152,431
569,0,38153,431
570,0,38156,433
571,0,38158,433
572,0,38309,433
573,0,38380,433
574,0,38585,433
575,0,38601,433
576,0,38657,433
577,0,38664,433
578,0,38695,433
579,0,38697,433
580,0,38775,433
581,0,38811,433
582,0,38828,433
583,0,38880,433
584,0,38917,433
585,0,39034,433
586,0,39205,433
587,0,39428,433
588,0,39444,433
589,0,39597,433
590,0,39709,433
591,0,39892,434
592,0,39908,434
593,0,40079,434
594,0,40085,434
595,0,40116,434
596,0,40172,434
597,0,40204,434
598,0,40225,434
599,0,40227,434
600,0,40248,434
601,0,40299,434
602,0,40780,434
603,0,40792,434
604,0,40796,434
605,0,40864,434
606,0,40900,434
607,0,40916,434
608,0,40930,434
609,0,40936,434
610,0,40997,434
611,0,41095,434
612,0,41207,434
613,0,41357,435
614,0,41589,438
615,0,41615,438
616,0,41678,438
617,0,41764,438
618,0,41792,438
619,0,41838,440
620,0,41859,440
621,0,42035,440
622,0,42186,440
623,0,42317,440
624,0,42429,440
625,0,42517,440
626,0,42713,440
627,0,42824,440
628,0,43241,440
629,0,43287,440
630,0,43362,440
631,0,43412,440
632,0,43475,440
633,0,43631,440
634,0,43663,440
635,0,43844,440
636,0,43916,440
637,0,44186,440
638,0,44642,440
639,0,44829,440
640,0,44910,440
641,0,44981,440
642,0,45152,440
643,0,45425,440
644,0,45431,440
645,0,45571,441
646,0,45847,441
647,0,45853,441
648,0,45889,441
649,0,45941,441
650,0,46013,441
651,0,46124,441
652,0,46150,441
653,0,46285,441
654,0,46416,441
655,0,46457,441
656,0,46528,441
657,0,46759,441
658,0,46813,441
659,0,46959,441
660,0,47056,441
661,0,47187,441
662,0,47237,441
663,0,47254,441
664,0,47261,441
665,0,47324,441
666,0,47350,441
667,0,47426,441
668,0,47543,441
669,0,47574,441
670,0,47605,441
671,0,47621,441
672,0,47653,441
673,0,47829,441
674,0,47871,441
675,0,48017,441
676,0,48054,441
677,0,48112,441
678,0,48116,441
679,0,48187,441
680,0,48224,441
681,0,48260,441
682,0,48326,441
683,0,48340,441
684,0,48404,441
685,0,48470,441
686,0,48611,441
687,0,49012,441
688,0,49161,441
689,0,49362,441
690,0,49393,441
691,0,49517,441
692,0,50063,441
693,0,50085,441
694,0,50171,441
695,0,50177,441
696,0,50313,441
697,0,50523,441
698,0,50535,441
699,0,50564,442
700,0,51016,442
701,0,51034,442
702,0,51153,442
703,0,51189,442
704,0,51210,442
705,0,51254,442
706,0,51290,442
707,0,51451,442
708,0,51662,442
709,0,51864,442
710,0,52014,442
711,0,52080,442
712,0,52082,442
713,0,52083,442
714,0,52208,442
715,0,52220,442
716,0,52555,442
717,0,52559,442
718,0,52622,442
719,0,52650,442
720,0,52881,442
721,0,52917,442
722,0,52958,442
723,0,52964,442
724,0,52971,442
725,0,53102,442
726,0,53263,442
727,0,53480,442
728,0,53502,442
729,0,53530,442
730,0,53546,442
731,0,53797,442
732,0,53928,442
733,0,53934,442
734,0,54055,442
735,0,54258,442
736,0,54285,442
737,0,54437,442
738,0,54615,442
739,0,54636,442
740,0,54703,442
741,0,54751,442
742,0,54990,442
743,0,55043,442
744,0,55045,442
745,0,55086,442
746,0,55232,442
747,0,55290,442
748,0,55339,442
749,0,55705,442
750,0,55713,442
751,0,55725,442
752,0,56041,442
753,0,56138,442
754,0,56343,442
755,0,56500,442
756,0,56780,442
757,0,56794,442
758,0,56855,442
759,0,56895,442
760,0,57006,442
761,0,57165,442
762,0,57171,442
763,0,57493,442
764,0,58329,442
765,0,58543,442
766,0,58614,442
767,0,58640,442
768,0,58720,442
769,0,58729,442
770,0,58770,442
771,0,58776,442
772,0,58959,442
773,0,59171,442
774,0,59472,442
775,0,59553,442
776,0,59649,442
777,0,59930,442
778,0,60036,442
779,0,60102,442
780,0,60153,442
781,0,60215,442
782,0,60299,442
783,0,60315,442
784,0,60416,442
785,0,60557,442
786,0,60569,442
787,0,60722,442
788,0,60891,442
789,0,60960,442
790,0,61106,442
791,0,61212,442
792,0,61233,442
793,0,61323,442
794,0,61679,442
795,0,61714,442
796,0,61765,442
797,0,61930,442
798,0,62371,442
799,0,62716,442
800,0,62928,442
801,0,62944,442
802,0,62961,442
803,0,63614,442
804,0,63665,442
805,0,63813,442
806,0,63830,442
807,0,64382,442
808,0,64723,442
809,0,65004,442
810,0,65291,442
811,0,65440,442
812,0,65648,442
813,0,65661,444
814,0,65896,444
815,0,65908,444
816,0,65986,444
817,0,66077,444
818,0,66078,444
819,0,66144,444
820,0,66270,444
821,0,66461,444
822,0,66529,444
823,0,66611,444
824,0,66779,444
825,0,66835,444
826,0,66933,444
827,0,66944,444
828,0,66960,444
829,0,67213,444
830,0,67225,444
831,0,67278,445
832,0,67539,445
833,0,67550,445
834,0,67623,445
835,0,67894,445
836,0,68006,445
837,0,68246,445
838,0,68256,445
839,0,68278,445
840,0,68289,445
841,0,68336,445
842,0,68487,445
843,0,68773,445
844,0,68841,445
845,0,68974,445
846,0,68985,445
847,0,69122,445
848,0,69328,445
849,0,69444,445
850,0,69561,445
851,0,69834,445
852,0,69850,445
853,0,69861,445
854,0,69980,445
855,0,70010,445
856,0,70020,445
857,0,70049,445
858,0,70181,445
859,0,70182,445
860,0,70228,445
861,0,70504,445
862,0,70860,445
863,0,70863,445
864,0,70900,445
865,0,71119,445
866,0,71166,445
867,0,71180,445
868,0,71191,445
869,0,71194,445
870,0,71328,445
871,0,71355,445
872,0,71395,445
873,0,71457,445
874,0,71475,445
875,0,71601,445
876,0,71637,445
877,0,71708,445
878,0,71749,445
879,0,71801,445
880,0,71916,445
881,0,71946,445
882,0,71962,445
883,0,72024,445
884,0,72028,445
885,0,72045,445
886,0,72142,445
887,0,72839,445
888,0,72925,445
889,0,73192,445
890,0,73623,445
891,0,73750,445
892,0,73766,445
893,0,73802,445
894,0,74080,445
895,0,74306,445
896,0,75044,445
897,0,75060,445
898,0,75218,445
899,0,75230,445
900,0,75906,445
901,0,76004,445
902,0,76176,445
903,0,76512,445
904,0,76633,445
905,0,76634,445
906,0,76946,445
907,0,76973,445
908,0,77044,445
909,0,77067,445
910,0,77079,445
911,0,77137,445
912,0,77604,445
913,0,77876,445
914,0,77950,445
915,0,77981,445
916,0,78058,445
917,0,78207,445
918,0,78335,445
919,0,78337,445
920,0,78398,445
921,0,78408,445
922,0,78539,445
923,0,78790,445
924,0,78916,445
925,0,78968,445
926,0,78997,445
927,0,79133,445
928,0,79260,445
929,0,79531,445
930,0,79663,445
931,0,79834,445
932,0,79846,445
933,0,79982,445
934,0,80008,445
935,0,80214,445
936,0,80445,445
937,0,81145,445
938,0,81227,445
939,0,81276,445
940,0,81908,445
941,0,81947,445
942,0,82047,445
943,0,82049,445
944,0,82235,445
945,0,82291,445
